0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/login/images/circle.png HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/login/images/comment.png HTTP/1.1" 200 327754
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/login/images/my-form.png HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/login/images/circle-color.png HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/login/images/introduction-color.png HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:07 +0530] "GET /pms-web/login/images/edit.png HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:12 +0530] "GET /pms-web/lib/jquery/loading/loading.gif HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:15 +0530] "POST /pms-web/competency/getcompetencies.do HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:15 +0530] "GET /pms-web/login/images/my-form-color.png HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:15 +0530] "GET /pms-web/login/images/introduction.png HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:22 +0530] "GET /pms-web/login/images/my-form-color.png HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [06/Dec/2018:14:37:22 +0530] "GET /pms-web/login/images/introduction.png HTTP/1.1" 200 1451
